"age_at_death","birth_date","died","eva_count","eva_duration","fai_flights_count","fai_flights_duration","flown","name","nationality","non_fai_flight_flight_count","non_fai_flight_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"","1964-04-04","","0","","0","","False","Satoshi   Furukawa","Japanese","0","","NASDA Group 4","0","","Active"
"60.9","1941-04-14","2002-03-21","0","","0","","False","Anatoli Pavlovich Fyodorov","Russian","0","","Air Force Group 3","0","","Deceased"
"","1946-06-09","","0","","0","","False","Francis Andrew Gaffney""Drew""","American","0","","","0","","Retired"
"34.1","1934-03-09","1968-03-27","0","","0","","False","Yuri Alekseyevich  Gagarin","Russian","0","","Air Force Group 1","0","","Deceased"
"72.1","1936-10-31","2008-12-05","0","","0","","False","Sergei Nikolayevich Gaidukov","Russian","0","","Air Force Group 4","0","","Deceased"
"","1949-02-05","","0","","0","","False","Maidarjabyn Ganzorig","Mongolian","0","","1978 Intercosmos Group","0","","Retired"
"65.3","1948-11-08","2014-02-19","2","12h 11m","0","","False","Dale Allan Gardner","American","0","","NASA Group 8","0","","Deceased"
"","1948-01-06","","0","","0","","False","Guy Spencer Gardner","American","0","","NASA Group 9","0","","Retired"
"","1949-02-23","","0","","0","","False","Marc   Garneau","Canadian","0","","CSA Group 1","0","","Retired"
"","1932-10-12","","0","","0","","False","Edwin Jacob Garn""Jake""","American","0","","","0","","Retired"
"","1930-11-22","","3","13h 59m","0","","False","Owen Kay Garriott","American","0","","NASA Group 4","0","","Retired"
"","1961-07-04","","0","","0","","False","Richard Allen Garriott","American","0","","","0","","Inactive"
"","1963-01-22","","0","","0","","False","Jean-Marc Michel Daniel Gasparini","French","0","","CNES Group 3","0","","Retired"
"","1955-08-04","","0","","0","","False","Charles Donald Gemar""Sam""","American","0","","NASA Group 11","0","","Retired"
